ID	Waveform	Period	Phase	Nadir	Tau	P
-1.0063999508111885	cosine	24.0	2.0	4.0	0.3499559916811736	0.008291978169918663
-0.17728945608846036	cosine	24.0	6.0	10.0	0.3296902366978937	0.01200202793833976
0.742141597720691	cosine	24.0	22.0	2.0	0.22796582808764732	0.059302293251139775
-1.503316673077312	cosine	24.0	14.0	10.0	0.22711994083632678	0.059988929747551704
-0.8054074909755452	cosine	24.0	2.0	4.0	0.20260610044699526	0.0827141103030547
0.8206619894712545	cosine	24.0	14.0	12.0	0.224708584132122	0.06198051021301793
-1.0480246193477893	cosine	24.0	0.0	4.0	0.29101603518750224	0.023169067299739072
3.4816807969189503	cosine	24.0	14.0	12.0	0.3941609590514271	0.003483349956988493
0.8404983129571949	cosine	24.0	2.0	4.0	0.23944357325553983	0.05058223589567321
0.43989297882292927	cosine	24.0	8.0	16.0	0.3926929429304807	0.0035899625406177324
-1.4578605107926688	cosine	24.0	8.0	2.0	0.2794419828171161	0.027869928627522758
0.6118824937137552	cosine	24.0	0.0	12.0	0.3173972005106735	0.014893695995628085
-0.8303587219307977	cosine	24.0	6.0	20.0	0.424934082855063	0.0018123247756937882
-1.096329405539722	cosine	24.0	0.0	22.0	0.13629864939161498	0.17538349720096835
-0.43086113076936405	cosine	24.0	10.0	16.0	0.32236378699349605	0.013660266883671912
-1.446692807017287	cosine	24.0	16.0	14.0	0.16977059562198815	0.12256654833167985
1.1248269705058789	cosine	24.0	12.0	14.0	0.2173410895704131	0.0683859475317161
-0.6633244147384258	cosine	24.0	20.0	18.0	0.1845332561108567	0.10323755908592297
2.0630045532137293	cosine	24.0	4.0	2.0	0.20997359500870416	0.07529048637923798
0.29130903208779757	cosine	24.0	10.0	2.0	0.26154605694066657	0.03668290960514206
1.09789829445766	cosine	24.0	20.0	22.0	0.15103363851503282	0.15057309273890357
-0.8298877196407588	cosine	24.0	12.0	18.0	0.2564257396539173	0.03958738267049287
0.8636198059204515	cosine	24.0	2.0	0.0	0.14366614395332392	0.16267072585061332
0.7014088505846424	cosine	24.0	6.0	8.0	0.3499559916811736	0.008291978169918663
-0.823468198467163	cosine	24.0	8.0	10.0	0.3204860134343379	0.014115833190008366
-0.004714664452995314	cosine	24.0	0.0	22.0	0.3425884971194647	0.009504204798824281
-0.18807317990035183	cosine	24.0	8.0	4.0	0.21653162273736784	0.06911977279696901
-0.35651848358928373	cosine	24.0	14.0	16.0	0.2731092190440679	0.030762062328506853
-0.3294594795078073	cosine	24.0	14.0	16.0	0.23620256782189655	0.052934139906380795
1.5075030635751108	cosine	24.0	14.0	10.0	0.344343136106689	0.009202243653261678
1.131982842913718	cosine	24.0	4.0	6.0	0.36469098080459145	0.006268102368788777
-1.50510758308159	cosine	24.0	8.0	22.0	0.30038443788030317	0.01987023624788583
-0.6935905789072986	cosine	24.0	14.0	16.0	0.26572788879963366	0.03444220575113408
0.023781210133879637	cosine	24.0	20.0	18.0	0.24358389806633082	0.04769966180633572
-0.3219323405267286	cosine	24.0	6.0	8.0	0.28364854062579337	0.02607689362942387
-0.1016771116345953	cosine	24.0	4.0	20.0	0.23855178776150696	0.051220920739073736
1.02712143912353	cosine	24.0	12.0	10.0	0.18787111132357742	0.09919213877373323
-0.9168297361411726	cosine	24.0	20.0	12.0	0.44407332798680527	0.0011823697179425112
1.612283253571785	cosine	24.0	12.0	16.0	0.3516695858110866	0.008030305253720312
-0.317120392440196	cosine	24.0	18.0	16.0	0.22555494714375637	0.0612756889104502
-0.23916847949544712	cosine	24.0	2.0	0.0	0.32785350799604684	0.012400444227444124
-0.4366029989523468	cosine	24.0	14.0	16.0	0.1845332561108567	0.10323755908592297
2.25040422962741	cosine	24.0	6.0	0.0	0.3867934644897182	0.004048549572026775
-0.6043777278389358	cosine	24.0	6.0	2.0	0.2132583553077991	0.07214917198900778
-0.39553024695913963	cosine	24.0	4.0	6.0	0.2689135515023755	0.032811789040382046
-0.9265540443961656	cosine	24.0	20.0	6.0	0.37364893492427953	0.005263710294693397
1.058775603654498	cosine	24.0	8.0	10.0	0.2983835297492112	0.020539183818460795
-0.24237969453325356	cosine	24.0	0.0	2.0	0.20260610044699526	0.0827141103030547
-0.5831554090152099	cosine	24.0	4.0	20.0	0.43673327297875886	0.0013954236360342212
1.085545265945111	cosine	24.0	20.0	18.0	0.19929591659972523	0.08622355226943118
-1.1090249067377227	cosine	24.0	4.0	2.0	0.28364854062579337	0.02607689362942387
-0.04105888500044454	cosine	24.0	12.0	14.0	0.16576862763845066	0.12821813932553655
0.9208346442474566	cosine	24.0	2.0	4.0	0.2173410895704131	0.0683859475317161
0.8622072061348354	cosine	24.0	14.0	10.0	0.3370166864022913	0.010521242945149252
0.4305680670582887	cosine	24.0	22.0	6.0	0.3077108875847008	0.01757642110804049
0.7358713991415281	cosine	24.0	14.0	16.0	0.3173972005106735	0.014893695995628085
1.56931362071286	cosine	24.0	18.0	16.0	0.45480751637183664	0.0009240395187704023
-1.131617750968949	cosine	24.0	2.0	10.0	0.10682867114477931	0.2322824879297854
1.5252424909913063	cosine	24.0	2.0	6.0	0.2132583553077991	0.07214917198900778
-0.731074701229808	cosine	24.0	10.0	4.0	0.48811365803508344	0.0004164348470729981
1.805747500023386	cosine	24.0	18.0	14.0	0.34865261288220245	0.00849599441162096
0.8482109472509864	cosine	24.0	20.0	16.0	0.5000540745148393	0.0003092403561969335
2.323126336741103	cosine	24.0	18.0	16.0	0.17378823796322213	0.11707097859576515
-1.1541108839622127	cosine	24.0	14.0	6.0	0.3046122828339243	0.01851739807192879
-1.8340016562709385	cosine	24.0	4.0	0.0	0.10682867114477931	0.2322824879297854
0.0721982231785925	cosine	24.0	20.0	0.0	0.32785350799604684	0.012400444227444124
-0.20206426139080466	cosine	24.0	20.0	0.0	0.3941609590514271	0.003483349956988493
-0.6891628707349791	cosine	24.0	4.0	6.0	0.2983835297492112	0.020539183818460795
0.7285564817120862	cosine	24.0	2.0	10.0	0.20997359500870416	0.07529048637923798
1.8541116168669283	cosine	24.0	18.0	14.0	0.319292392850017	0.014412173665151762
